institution,programme_name,path_codes,spring_intake,start_month,start_date_verbatim,intakes_per_year,other_intakes,application_deadline_for_spring_intake,official_status,ruct_code,modality,language_of_instruction,tuition_total_eur,url,evidence_verbatim,notes,_verdicts_seen,_disagreement,_slices,_times_checked
"Universidad Pontificia Comillas (ICAI-ICADE), Madrid",Máster Universitario en Big Data. Tecnología y Analítica Avanzada (MBD),AB | X,NO,September (1 September 2026 for the current edition),'01/09/2026' — '1 año (60 ECTS)',1,none,N/A — no spring cohort. Admission calendar for the next cycle not yet published: 'Nuevas convocatorias próximamente',"máster universitario (OFFICIAL) — RUCT 3500319, 'Publicado en B.O.E. (TITULACIÓN RENOVADA POR ACREDITACIÓN INSTITUCIONAL)', Máster RD 822/2021, MECES 3, verificación 05/06/2024, BOE 05/09/2024 and 27/05/2025. 60 ECTS (54 obligatorios + 6 TFM).",3500319,"Presencial, Madrid, full-time, 40 plazas","'Inglés, Español' (both) — flag: partly Spanish, verify per-course before relying on English","EUR 15,301.80 total ('Total 15.301,80€' = matrícula inicial 2.073,00€ + 8 mensualidades de 1.653,60€), rates as published for the edition starting 01/09/2026",https://www.comillas.edu/postgrados/master-universitario-en-big-data/,"'01/09/2026'; '1 año (60 ECTS)'; '40' plazas; 'Nuevas convocatorias próximamente'; 'Inglés, Español'; 'Total 15.301,80€'","Official, September-only. 'Convocatorias' here means admission rounds (currently 'próximamente'), NOT extra cohort starts — the start date field is a single date. Paid internships count as the TFM.",NO,,business-schools,1
"Universidad Pontificia Comillas (ICAI-ICADE), Madrid",Máster Universitario en Inteligencia Artificial,AA,NO,September (1 September 2026),"'01/09/2026' — '1,5 años (90 ECTS)'",1,none,N/A — no spring cohort; 'Nuevas convocatorias próximamente',"máster universitario (OFFICIAL) — RUCT 3500778, 'Publicado en B.O.E. (TITULACIÓN RENOVADA POR ACREDITACIÓN INSTITUCIONAL)', Máster RD 822/2021, MECES 3, verificación 26/05/2025, BOE 03/07/2025 and 25/05/2026. 90 ECTS (60 obligatorios + 18 optativos + 12 TFM).",3500778,"Presencial, Madrid, 45 plazas, 1.5 years",'Español' — Spanish only,"EUR 26,357.40 total for the 90-ECTS programme (rates as published for the edition starting 01/09/2026)",https://www.comillas.edu/postgrados/master-universitario-en-inteligencia-artificial/,"'01/09/2026'; '1,5 años (90 ECTS)'; '45' plazas; 'Español'; '26.357,40€'; 'Nuevas convocatorias próximamente'",Official and September-only. 90 ECTS over 1.5 years means a September 2027 start would finish in early 2029. Spanish-only — a hard blocker for this candidate at A0/A1.,NO,,business-schools,1
"Universidad Rey Juan Carlos (URJC), Madrid","INSTITUTION-WIDE calendar record — URJC másteres universitarios (in-scope: Visión Artificial, Ciencia de Datos, Ingeniería Informática, Ciberseguridad)",AA | AB | AC,NO,September/October,"URJC's Escuela de Másteres Oficiales admission page publishes, for curso 2026/2027: «LISTADO DE MÁSTER OFERTADOS EN EL PERIODO EXTRAORDINARIO (del 24 de agosto al 2 de septiembre de 2026)». Historic ordinary first round for comparison, as printed on the same page: «Autopreinscripción másteres universitarios 2021/2022 (Primer plazo. Del 15 de febrero al 24 de marzo de 2021)». The page also refers to «el segundo plazo ordinario» whose waiting list «comenzará una vez terminado el plazo de matrícula».",1,"none — ordinary first and second plazos plus a periodo extraordinario, all one cycle",n/a — no spring intake,máster universitario,n/a — institution-level calendar record,"presencial / semipresencial / online depending on title, Madrid",mostly castellano; URJC requires DELE B2 Spanish from non-Spanish speakers for Spanish-taught masters («será necesario que justifiquen documentalmente su nivel de lengua española... Certificado de Lengua Española B2 – DELE Intermedio o equivalente»),"Madrid public rates; URJC publishes a distinct «Estudiantes extracomunitarios, no residentes» rate of 84,07 EUR/credit vs 45,02 first enrolment (per AGENT-BRIEF)",https://www.urjc.es/estudiar-en-la-urjc/admision/274-master,«LISTADO DE MÁSTER OFERTADOS EN EL PERIODO EXTRAORDINARIO (del 24 de agosto al 2 de septiembre de 2026)»,"★ THIS IS THE EXACT CASE THE SLICE BRIEF ASKED ME TO DISTINGUISH, so state it plainly: URJC runs a PERIODO EXTRAORDINARIO, and it is NOT a spring intake. It runs 24 August – 2 September 2026 and exists to top up the SAME autumn cohort days before term begins — a late-admission window, not a second start. Equally, the ordinary first plazo has historically run mid-February to late March; that is an APPLICATION window for the following autumn, not a February start. Both patterns are excluded by the brief and are recorded here as NO. Fetched with a browser User-Agent via curl per the AGENT-BRIEF correction — urjc.es is NOT blocked, it serves a 202 shell to naive clients then 200 with a UA. Separate but decisive practical filter for this candidate: URJC demands DELE B2 Spanish for Spanish-taught masters, and the candidate is A0/A1.",NO,,public,1
Universidade da Coruña (UDC),"INSTITUTION-WIDE calendar record — UDC mestrados universitarios (in-scope: Computación de Altas Prestacións (coordinating, with USC/CESGA); Ciencia e Enxeñaría de Datos; Enxeñaría Informática)",AA | AB | AC,NO,September,"Three admission periods for curso 2026-2027, all autumn-facing: «Prazo Anticipado» (applications limited to 50% of available places), «Prazo Ordinario», «Prazo Extraordinario», plus a «Procedemento específico para o Master de Profesorado». For applicants who did not use the early period, preinscripción runs 11 June – 13 July, with first enrolment 31 July – 4 August; a further window 24 August – 6 September covers applicants with up to 9 ECTS of TFG outstanding. UDC states «Os prazos de preinscrición e matricula rematan ás 23:59 horas do último día do prazo establecido».",1,none,n/a — no spring intake,máster universitario,n/a — institution-level calendar record,"presencial, A Coruña / Ferrol",castellano / galego; the High Performance Computing master is English-taught,Galician public rates,https://www.udc.gal/en/futuros_estudantes/masteres/prazos-e-datas-de-admision/,"Three periods only — Anticipado, Ordinario, Extraordinario — with the last enrolment window running 24 August – 6 September; no February or second-semester intake appears anywhere on the page","Clean NO. UDC's «Prazo Anticipado» is a first-half-of-year application window capped at 50% of places, again an application round for the autumn cohort, not a start. Relevant to the interuniversity Computación de Altas Prestacións title co-awarded with USC: both awarding universities are September-only, so that title has no spring route.",NO,,public,1
Universidade de Santiago de Compostela (USC),INSTITUTION-WIDE calendar record — USC mestrados universitarios (in-scope: Tecnoloxías de Análise de Datos Masivos/Big Data (interuniv. with UMU); Intelixencia Artificial; Computación de Altas Prestacións (with UDC/CESGA)),AA | AB | AC,NO,September,"USC news item: «O período de admisión en mestrado universitario permanecerá aberto do 7 de xuño ao 17 de xullo», covering 72 programmes. USC additionally runs an early admission call for students from outside the EHEA for curso 2026-2027, applications 18 February – 10 March 2026 through the Secretaría Virtual.",1,none,n/a — no spring intake,máster universitario,n/a — institution-level calendar record,"presencial, Santiago de Compostela / Lugo",castellano / galego; some English,Galician public rates,https://www.usc.gal/gl/xornal/novas/periodo-admision-mestrado-universitario-permanecera-aberto-7-xuno-17-xullo,«O período de admisión en mestrado universitario permanecerá aberto do 7 de xuño ao 17 de xullo»,"Single autumn cycle. NOTE THE FEBRUARY ITEM AND WHY IT IS NOT A SPRING INTAKE: USC's early call for non-EHEA applicants runs 18 February – 10 March 2026, and it is an APPLICATION window for the following September — the excluded case, and structurally identical to Andalucía's Fase 1. Its practical value for this candidate is real but it is a visa-runway advantage, not an earlier start: a Tunisian applicant with a non-EHEA degree gets a February application slot for a September start.",NO,,public,1
Universidade de Vigo — Centro de Postgrao e Formación Permanente,Especialista en Industria Musical,P,NO,"December (2023 edition — page appears stale, no current edition advertised)",12 de diciembre de 2023,NOT FOUND,NOT FOUND,N/A,"título propio (Especialista, not a máster)",,Presencial,Gallego 50% y castellano 50%,"EUR 1,440 general public (EUR 1,296 UVigo Alumni; EUR 1,224 UVigo community / unemployed) — 2023-24 edition rates",https://cpfp.uvigo.gal/es/estudios/titulos-propios/id1090-1/,'12 de diciembre de 2023' · '30.0 ECTS' · 'Gallego 50% e castelán 50%',"Out of scope on two counts: it is a 30-ECTS Especialista rather than a master, and the only edition on the page is 2023-24 with a December start. Taught half in Galician. Recorded so a later pass does not re-check it.",NO,,path-P,1
Universidade de Vigo (UVigo),INSTITUTION-WIDE calendar record — UVigo mestrados universitarios (in-scope: Enxeñaría de Telecomunicación; Intelixencia Artificial; Ciberseguridade),C | AA | AC,NO,September,"Two pre-enrolment windows for curso 2026-2027: first «From June 22 to July 6, 2026», with an extraordinary deadline for non-EHEA graduates «from March 11 to April 8, 2026»; second «From August 20 to 25». The page is headed «Start of studies: pre-enrolment and enrolment 2026/2027».",1,none,n/a — no spring intake,máster universitario,n/a — institution-level calendar record,"presencial, Vigo / Ourense / Pontevedra",castellano / galego,Galician public rates,https://www.uvigo.gal/en/study/students-management/registration/masters-degree-enrolment,"«From June 22 to July 6, 2026» (first period) and «From August 20 to 25» (second period) — the second period opening only if places remain unfilled","Clean NO; the whole Galician public system (USC, UDC, UVigo) is September-only, checked university by university rather than assumed from one calendar. As at USC, the notable feature for this candidate is the dedicated early window for non-EHEA graduates (11 March – 8 April 2026) — an application advantage, not an earlier start.",NO,,public,1
Universitat Autònoma de Barcelona (UAB),INSTITUTION-WIDE calendar record — UAB másteres oficiales (calendar sampled on a representative title; UAB publishes one common preinscripción calendar),AA | AB | AC | C,NO,"September/October (autumn) — the page itself does not print an inicio de clases date, recorded as NOT STATED on that page rather than inferred as fact","«El periodo de preinscripción estará abierto desde el día 12 de enero hasta el 29 de julio y del 1 septiembre hasta el 5 de octubre de 2026» — SEVEN sequential admission deadlines (1º 12 ene–10 feb; 2º 11 feb–12 mar; 3º 13 mar–22 abr; 4º 23 abr–21 may; 5º 22 may–25 jun; 6º 26 jun–29 jul; 7º 1 sep–5 oct 2026, «Resolución: semanalmente hasta cubrir plazas»), all within the single curso 2026-27 admission cycle.","1 cohort, admitted through 7 application rounds",none,n/a — no spring intake,máster universitario,n/a — institution-level calendar record,"presencial, Bellaterra",varies by title,"Catalan public rates, Decret 96/2026",https://www.uab.cat/web/estudiar/la-oferta-de-masteres-oficiales/admision/calendario/investigacion-en-educacion-1345655940238.html,«2º plazo: 11 de febrero – 12 de marzo de 2026 | Resolución: 25 de marzo de 2026»,"⚠️ TEXTBOOK CASE OF THE TRAP. UAB's '2º plazo' runs 11 February–12 March, and a careless read makes that a 'February intake'. It is an APPLICATION ROUND. All seven plazos sit inside one preinscripción period (12 January – 5 October 2026) that resolves into a single curso 2026-27 cohort; the final round resolves 'weekly until places are filled', which only makes sense for one start. Recorded NO. Honest gap: this calendar page does not print the teaching start date, so 'September' is the UAB norm rather than a quoted fact — but the absence of any second cohort is directly evidenced.",NO,,public,1
Universitat Autònoma de Barcelona (UAB) — Escola Universitària de Turisme i Direcció Hotelera / Facultat d'Economia i Empresa,Máster Universitario en Dirección y Organización de Turismo de Eventos / Direcció i Organització de Turisme d'Esdeveniments,S,NO,October,"UAB official-master fact sheet, verbatim fields: «Inicio de clases: 07/10/2026 · Fin de clases: 12/05/2027 · Plazas: 35 · Horarios: Tarde». A single annual cohort; no February, January or April start is offered.",1,none,"N/A — no spring intake. ⚠️ TRAP AVOIDED: UAB's preinscription OPENS on «12/01/2026» (12 January) and the fact sheet shows «Estado de la preinscripción: Abierta». That is a JANUARY APPLICATION WINDOW for an OCTOBER START — explicitly excluded by the SPRING-BRIEF, and exactly the pattern that gets miscounted as a spring intake.","MÁSTER UNIVERSITARIO (OFFICIAL) — RUCT 4313799, «Máster Universitario en Dirección y Organización de Turismo de Eventos por la Universidad Autónoma de Barcelona», estado «Publicado en B.O.E. (TITULACIÓN RENOVADA)». Listed by UAB under «la oferta de másteres oficiales». Unusual for this field: most events masters in Spain are títulos propios.",4313799,Presencial,«Castellano (70%) e inglés (30%)» — verbatim from the UAB fact sheet. Predominantly Spanish; the English share is a minority of teaching.,"EUR 7,980 for the full 60 ECTS — computed from the UAB fact sheet's «Comunitarios: 133 €/crédito, incluye tasas y seguro escolar. Extracomunitarios: 133 €/crédito, incluye tasas y seguro escolar» (133 x 60 = 7,980). Arithmetic shown per brief rule. Rates as published on the page on 2026-08-29 for the 2026-27 cohort.",https://www.uab.cat/web/estudiar/la-oferta-de-masteres-oficiales/informacion-general/direccion-y-organizacion-de-turismo-de-eventos-1096480309770.html,Inicio de clases 07/10/2026 — Fin de clases 12/05/2027 — Inicio de la preinscripción 12/01/2026 — Estado de la preinscripción: Abierta,"NOTABLE SECONDARY FINDING for the wider dataset: UAB prints the SAME per-credit price for «Comunitarios» and «Extracomunitarios» (133 €/crédito each) on this title — i.e. NO non-EU surcharge on this programme, contrary to the pattern at several other Catalan and Madrid publics. Worth carrying into the main record. On the spring question the answer is a clean NO.",NO,,path-S,1
Universitat de Barcelona (UB),"INSTITUTION-WIDE calendar record — covers all UB màsters universitaris oficials (in-scope: Fonaments de la Ciència de Dades, Intel·ligència Artificial (interuniv. UPC/UB/URV), Enginyeria Informàtica, Astrofísica/Física instrumentation tracks)",AA | AB | AC | C,NO,September (teaching begins 14 September 2026),"UB Calendari marc 2026-2027, §1: «Primer semestre — Docència: Inici: 14 de setembre de 2026; Final: 29 de gener 2027». «Segon semestre — Docència: Inici: De l'1 al 8 de febrer de 2027; Final: 30 de juny de 2027». §2 Calendari de matriculació distinguishes «Matrícula anual i matrícula del primer semestre» (Matrícula juliol: del 10 al 24 de juliol de 2026; Matrícula setembre/octubre: de l'1 de setembre al 23 d'octubre de 2026) from «Ampliació de la matrícula i matrícula del segon semestre — Matrícula febrer: De l'1 al 19 de febrer de 2027».",1,"none — the February window is an ampliació (extension) of an existing enrolment, not a new cohort",n/a — no spring intake,máster universitario,n/a — institution-level calendar record,"presencial, Barcelona",varies by title,"Catalan public rates, Decret 96/2026",https://www.ub.edu/acad/noracad/calendarimarc2627.pdf,«Ampliació de la matrícula i matrícula del segon semestre — Matrícula febrer: De l'1 al 19 de febrer de 2027»,"⚠️ THE DECISIVE READING, AND IT IS A TRAP THE BRIEF NAMED. UB does have a February matrícula window, and search results describe 'masters with semester-based enrolment have a second preregistration period in February'. But the framework calendar approved by UB's Consell de Govern (10 December 2025) titles that window «AMPLIACIÓ de la matrícula i matrícula del segon semestre» — extension of enrolment / second-semester subject enrolment. The only footnote about NEW-access students under the February heading concerns «alumnes de GRAU de nou accés» whose dates await the Oficina d'Accés — there is no master new-cohort provision. So February at UB is second-semester module entry by students already admitted, exactly the case the brief excludes. Separately, UB opened preinscripció for curso 2026-2027 on 15 January 2026 — an APPLICATION opening in winter for an autumn start, also excluded. Recorded NO with high confidence.",NO,,public,1
Universitat de Girona (UdG) — COORDINATOR; with University of Bourgogne Europe (France) and Università degli Studi di Cassino e del Lazio Meridionale (Italy),MAIA — Erasmus Mundus Joint Master in Medical Imaging and Applications,AA,NO,September 2027,"'Following a comprehensive renewal of the curriculum, the MAIA consortium has been awarded Erasmus Mundus funding for 2027-2029 edition. The new programme is expected to welcome its new cohort in September 2027.'",1,None. Note the gap: 'We regret to inform you that the 2026-2028 edition of the Erasmus Mundus MAIA Master's program will not be offered.' There is no 2026 cohort at all — the next entry point is September 2027.,N/A — no spring intake,"máster universitario (Erasmus Mundus Joint Master, official in Spain)",4315815,presencial; 120 ECTS over 2 years,"English (English proficiency required; documents accepted in English, Spanish or Catalan)","EUR 6,500/yr non-EU vs EUR 4,500/yr EU on the prior edition = EUR 13,000 non-EU over the programme (a EUR 4,000 non-EU penalty if unfunded). NOTE: the 2027-2029 curriculum has been comprehensively renewed and fees are not yet republished — treat the prior figures as stale.",https://maiamaster.udg.edu/admission/,"'Even More Important Information for Edition 2027 — Following a comprehensive renewal of the curriculum, the MAIA consortium has been awarded Erasmus Mundus funding for 2027-2029 edition. The new programme is expected to welcome its new cohort in September 2027. Application details will be published on this website. Please, check back regularly for updates and important dates (tentatively, the call for Erasmus Mundus grants will be open from November 2026 to February 2027, self-funded applications will have time until May 2027).' The dated deadline table below it is still blank: 'Application for Erasmus+ Grants deadline: – ; Course Starting: – ; Application is closed'.","MATERIAL CHANGE SINCE THE EARLIER PASS — supersedes the previous 'Open soon!, no dates' record. MAIA has SKIPPED the 2026-2028 edition entirely and has been AWARDED fresh Erasmus Mundus funding for a 2027-2029 edition entering September 2027, i.e. exactly this candidate's target intake, with EMJM money confirmed rather than in doubt. SEPTEMBER-2027 DEADLINE: the consortium publishes a TENTATIVE window — Erasmus Mundus grant call open NOVEMBER 2026 to FEBRUARY 2027, self-funded until MAY 2027. The consortium's own word is 'tentatively' and the dated table is still empty, so this is a stated intention, not a fixed date; re-check from November 2026. Applicants selected by the consortium must then also complete UdG pre-registration and obtain a Spanish grade-equivalence document from the Ministerio de Educación. PATH FIT REMAINS POOR for this candidate: medical image analysis, no audio/music/acoustics content (AA only). Also note the entry-route wording: the UdG one-year 60-ECTS medical-image master is offered as the alternative for '4-years bachelor' holders with a strong computer-technology background.",NO,,erasmus-mundus,1
Universitat de Girona (UdG) — COORDINATOR; with University of Zagreb FER (Croatia) and Eötvös Loránd University ELTE (Hungary),IFRoS — Erasmus Mundus Joint Master in Intelligent Field Robotic Systems,AA,NO,September,"'Course Starting: September, 2026'",1,None. No January or February start is offered. Cohorts are labelled by two-year span (2026-2028).,N/A — no spring intake,"máster universitario (Erasmus Mundus Joint Master, official in Spain)",4317866,"presencial; 120 ECTS, four semesters of 30 ECTS",English,"NOT FOUND for the 2027 cycle. For 2026-2028 the consortium advertised 14 'Excellence Grants' that are TUITION REDUCTIONS ONLY with no living stipend (non-EU: EUR 14,500 reduction, requiring a EUR 500 mandatory contribution to accept) — i.e. no EMJM monthly stipend for that cohort.",https://ifrosmaster.org/ifros-applicants,"'Application deadline for Consortium Grants: 26th April, 2026'; 'Application deadline for self-funded students: 14th june, 2026'; 'Course Starting: September, 2026'.","SEPTEMBER-2027 DEADLINE: NOT FOUND, and the prior question — whether a September 2027 entry exists at all — is STILL UNRESOLVED. The site publishes only the 2026-2028 cohort; the two-year cohort labelling is consistent with biennial recruitment, which would put the next entry at September 2028, not 2027. NOT CONFIRMED either way — a human must ask the consortium (UdG coordinates). FUNDING CAVEAT, unchanged: for 2026-2028 IFRoS offered consortium Excellence Grants (tuition reduction only, no EUR 1,400/month stipend) rather than full EMJM scholarships, so the headline 'fully funded including stipend' premise does NOT currently hold for this programme. PATH FIT POOR: field robotics, AA only, no audio content.",NO,,erasmus-mundus,1
Universitat de València (Estudi General) (UV),INSTITUTION-WIDE calendar record — UV màsters universitaris oficials (in-scope: Ciencia de Datos; Inteligencia Artificial; Ingeniería de Telecomunicación; Física; Contenidos y Formatos Audiovisuales),C | AA | AB | P,NO,September,"Three phases for curso 2026-2027, all resolving into one autumn cohort: FASE 1 (completed studies only) «From 30 March to 21 April 2026 at 23:59 h», results 15 May (postponed to 18 May), enrolment «13-16 July»; FASE 2 (completed or pending studies) «From 25 May to 16 June 2026 at 14.00 p.m.», results 10 July, enrolment «13 to 16 July»; FASE EXTRAORDINARIA (remaining vacancies only) «From 22 to 31 July and from 24 August to 2 September 2026», results «16 September (12:00 p.m.)», enrolment «17 - 21 September».",1,none,n/a — no spring intake,máster universitario,n/a — institution-level calendar record,"presencial, València",mostly castellano/valencià,Comunitat Valenciana public rates,https://www.uv.es/uvweb/college/en/postgraduate-courses/official-master-s-degrees/pre-enrolment-/-admission/instructions-1285846650865.html,«Extraordinary Phase (Remaining Vacancies Only): From 22 to 31 July and from 24 August to 2 September 2026 — results 16 September — enrolment 17-21 September»,"The FASE EXTRAORDINARIA is the case the slice brief asked me to distinguish, and it is clearly NOT a spring start: it opens only «for remaining vacancies», runs late July to early September and enrols students 17–21 September, i.e. into the autumn cohort already forming. All three phases terminate in September; nothing in the calendar continues past it. Recorded NO. Honest gap: the page itself never states the teaching start month, so 'September' here rests on the enrolment window closing 21 September rather than on a quoted inicio date.",NO,,public,1
Universitat Internacional Valenciana / Universidad Internacional de Valencia (VIU),Máster en Inteligencia de Negocio / Business Intelligence (page https://www.universidadviu.com/es/master-business-intelligence),X | AB,NO,October only,"Programme page, 'Calendarios académicos': 'Convocatoria octubre 26/27 — Calendario M. Business Int. Octubre 26 | Convocatoria octubre 25/26 — Calendario M. Business Int. Octubre 25'. Only OCTOBER convocatorias are listed — no April calendar, unlike VIU's Big Data and AI masters.",1 (October),none published,N/A — no spring intake,"CONFLICT — output/verified.jsonl records this URL against RUCT 3500467 'Máster Universitario en Inteligencia de Negocio', but the live page's own competency download is labelled 'Competencias - MFP Business Intelligence' (MFP = Máster de Formación Permanente, i.e. título propio). Not resolved here.",3500467 (per output/verified.jsonl; see CONFLICT above),100% online,NOT VERIFIED in this pass,NOT FOUND,https://www.universidadviu.com/es/master-business-intelligence,'Calendarios académicos Convocatoria octubre 26/27 Calendario M. Business Int. Octubre 26 Convocatoria octubre 25/26 Calendario M. Business Int. Octubre 25',"Recorded as a NEGATIVE result so the next pass does not re-check it. Important nuance: VIU's April/October double intake is PER PROGRAMME, not institution-wide — the Big Data and AI masters have April cohorts and this one does not.",NO,,from-dataset,1
"Universitat Jaume I (UJI), Castelló — Spanish partner; consortium coordinated by Université de Toulon (France), with NTNU (Norway) and Instituto Superior Técnico Universidade de Lisboa (Portugal)",MIR — Erasmus Mundus Joint Master in Marine and Maritime Intelligent Robotics,AA,NO,September,Admission requirements page: applicants must hold their first degree 'at the beginning of the programme/time of registering to the programme (September)'.,1,None found. No January or February start is mentioned anywhere on the site.,N/A — no spring intake,"máster universitario (Erasmus Mundus Joint Master, official in Spain)",4317521,presencial; 120 ECTS over 2 years,English,NOT PUBLISHED as a total. The site states Partner Country (non-EU) self-funded students pay double the Programme Country rate — a Tunisian self-funder pays exactly twice what an EU student pays.,https://www.master-mir.eu/admission-requirements/,"'at the beginning of the programme/time of registering to the programme (September)'. The only campaign referenced on the site is a 'self-financed students recruitment campaign opening on May 8, 2025' for 'the 2025/2026 academic year, starting in September 2025'.","SEPTEMBER-2027 DEADLINE: NOT FOUND. No 2027 calendar is published and there is no confirmation that Erasmus Mundus scholarship rounds return; the most recent campaign visible is self-financed only. The /apply/ page returns HTTP 404. A human must contact the MIR Coordination Office (via Toulon, the coordinator) to establish whether a September 2027 entry exists and whether it carries EMJM scholarships. FEE WARNING carried: this is the clearest case in the set where Partner Country status cuts AGAINST the candidate on price. PATH FIT POOR: marine/maritime robotics, AA only.",NO,,erasmus-mundus,1
Universitat Oberta de Catalunya (UOC),"Máster Universitario en Comunicación Corporativa, Protocolo y Eventos",S | P,NOT FOUND,October 2026,Inicio — 14 oct 2026,UOC institutionally offers 2 windows; this programme's page currently advertises only the October start,"Autumn: 14 oct 2026, 'Inscripción abierta: últimos días' as of 2026-08-29",N/A — no spring start published for this title,"máster universitario (OFFICIAL) — 'Titulación oficial. Esta titulación ha sido verificada por el Consejo de Universidades, y su implantación ha sido autorizada por la Generalitat de Cataluña'; AQU-accredited",4315872,100% Online,"'Idiomas: Español, Catalán' — 'El mismo programa se ofrece en las dos lenguas en aulas diferentes'. NO English option.","EU: 'Tu máster, por menos de 2.900 €' (25,82 €/cr). NON-EU: 4.330 € full-time 1 year / 4.840 € part-time 2 years, '** Matrícula estimada para 60 créditos ECTS, sin aplicar descuentos, recargos ni ajustes adicionales.' (rates displayed 2026-08-29)",https://www.uoc.edu/es/estudios/masters/master-universitario-comunicacion-corporativa-protocolo-eventos,Header: 'Inicio | 14 oct 2026 | 100% Online | 60 Créditos ECTS'. Banner: 'Inscripción abierta: últimos días'. The page carries the same generic matriculation block as the Data Science page — 'Matriculación a partir de abril — Para los másters que inician docencia en los meses de septiembre y octubre / Matriculación a partir de octubre — Para los másters que inician docencia en los meses de febrero y marzo' — but gives NO February date for this title.,"Recorded as NOT FOUND rather than NO. The 'Inicio' field names only the very next start, and because enrolment for 14 oct 2026 is still open the field cannot tell us whether a February 2027 cohort also runs for this title. The generic two-window block is boilerplate present on every UOC master page and is NOT evidence that THIS title starts in February — the brief's rule against inferring a spring start from a spring application window applies. A human should confirm with UOC admissions. For this candidate the title is in any case a poor fit on language (Spanish/Catalan only) and on 'complementos': 'a los estudiantes que no tengan el perfil de ingreso recomendado ... deberán cursar obligatoriamente 6 créditos de complementos formativos' — a software engineer is outside the recommended ciencias sociales profile, so +6 ECTS applies.",NOT FOUND,,online,1
Universitat Oberta de Catalunya (UOC),Máster Universitario en Análisis y Visualización de Datos Aplicados,AB | X,NOT FOUND,October 2026,Inicio — 14 oct 2026,NOT FOUND for this title (UOC institutionally runs 2 windows),"Autumn: 14 oct 2026, banner 'Inscripción abierta: últimos días' as of 2026-08-29",NOT FOUND,"máster universitario (OFFICIAL) — presented on uoc.edu as 'una alternativa oficial'; not present in output/ruct-backbone.jsonl (recent title), RUCT code NOT FOUND on the page",NOT FOUND,100% Online,"'Idiomas: Español, Catalán'","NOT CAPTURED (same Generalitat-regulated UOC tariff applies: 25,82 €/cr EU; non-EU 4.330 €/1 yr)",https://www.uoc.edu/es/estudios/masters/master-universitario-analisi-visualizacion-datos-aplicados,"Header: 'Inicio | 14 oct 2026 | 100% Online | 60 Créditos ECTS | Idiomas: Español, Catalán'. Banner: 'Inscripción abierta: últimos días'.","UOC's own signposted alternative for applicants whose background is business/social-science rather than technical ('gracias a unos complementos de formación hechos a medida' — quoted from the Ciencia de Datos page). Only the October start is advertised; no February date published, so NOT FOUND, not NO.",NOT FOUND,,online,1
Universitat Oberta de Catalunya (UOC),Máster Universitario en Ingeniería Informática,AC,NOT FOUND,September 2026,Inicio — 23 sept 2026,NOT FOUND for this title,Autumn: 23 sept 2026,NOT FOUND,máster universitario (OFFICIAL),"4312666 (also legacy 3500127) — from output/ruct-backbone.jsonl, 'Publicado en B.O.E.'",100% Online,"'Idiomas: Español, Catalán' — 'El mismo programa se ofrece en las dos lenguas en aulas diferentes'",NOT CAPTURED (90 ECTS at the UOC tariff),https://www.uoc.edu/es/estudios/masters/master-universitario-ingenieria-informatica,"Header: 'Inicio | 23 sept 2026 | 100% Online | 90 Créditos ECTS | Idiomas: Español, Catalán'","90 ECTS, not 60. Only a September start is advertised. Included as an AC (software/systems) candidate for completeness.",NOT FOUND,,online,1
Universitat Oberta de Catalunya (UOC),Máster de Formación Permanente en Inteligencia de Negocio y Big Data,AB | X,NOT FOUND,October 2026,Inicio — 14 oct 2026,NOT FOUND,Autumn: 14 oct 2026,NOT FOUND,"título propio — 'Máster de Formación Permanente' is the post-RD 822/2021 legal name for a título propio. NOT official, NO PhD access.",,100% Online,"'Idiomas: Español' (Spanish only — no Catalan, no English)",NOT CAPTURED,https://www.uoc.edu/es/estudios/masters/master-formacion-permanente-inteligencia-negocio-big-data,Header: 'Inicio | 14 oct 2026 | 100% Online | 60 Créditos ECTS | Idiomas: Español',Flagged título propio. Only an October start published.,NOT FOUND,,online,1
