Program,University,Country,Region,Track,Funding,Fit score,Admission difficulty,Why (difficulty),Language,Portfolio?,Tunisian eligible?,Verified,Deadline status,Scholarship,Stipend / coverage,Tuition (intl),Application opens,Deadline,Fit notes,Source URL,Multi-country?,Entry requirements,Public/Private,All countries (raw),Funding detail (raw),Verification notes
Master of Interaction Design and Electronic Arts (Audio and Acoustics),University of Sydney,Australia,Asia-Pacific,Acoustics / Audio Eng,None,41,Green,"Open entry — a bachelor's in any subject, no field restriction named",English,Check,Yes,Partial,Not published,None found (no Tunisian-eligible full scheme),N/A,"~AUD 48,900 per year per third-party listings — UNVERIFIED on official page (course page is JavaScript-gated)",UNVERIFIED (USYD postgraduate coursework: rolling applications for Semester 1/Semester 2),UNVERIFIED (Semester 1 / Semester 2 intakes; official page did not render deadlines),"Interactive sound / spatial audio / acoustics for entertainment and spaces — strong computing overlap with a software-engineering background, though more audio-tech/interaction than DJ performance. 2-yr coursework degree in the School of Architecture, Design and Planning.",https://www.sydney.edu.au/courses/courses/pc/master-of-interaction-design-and-electronic-arts-audio-and-acoustics.html,No,Bachelor degree with credit average across all units (or embedded grad cert/diploma with WAM 70+) per aggregated sources; English test (IELTS/TOEFL/PTE) required for non-native speakers — confirm exact bands on official page,Public,Australia,None found (self-pay likely),"Official USYD course page exists but is JS-gated — WebFetch returned only navigation, so fees/deadlines/English bands could not be confirmed on the official site. Program existence and 2-yr Audio and Acoustics stream confirmed; ~AUD 48,900/yr fee and credit-average entry come from third-party aggregators (Shiksha/TopUniversities). Firecrawl not spent (self-pay option, no funding). Treat all figures as indicative until checked directly."
Strategic Management MBA / International Management MA / Digital Product Management MBA (all English),"Estonian Business School (EBS), Tallinn",Estonia,Europe,Business / MBA,Check,41,Green,"Open entry — a bachelor's in any subject, no field restriction named",English,No,Yes,Partial,Confirm 2027 date,"None found on official page. Estonian national scholarship (EUR 350/month, Tunisia said to be eligible) applies to some degree students - Check EBS eligibility separately (not confirmed on EBS page).",Check,"UNVERIFIED - not shown on official masters page (aggregators cite ~EUR 5,500 for the 1-year MBA - confirm with EBS admissions)",UNVERIFIED for 2027/28 (non-EU intake reopens per cycle; confirm on ebs.ee),PRIOR CYCLE - confirm new date. CONFIRMED: 'All other international admissions are closed for the 2026/2027 study year'; Estonia/Finland/Latvia deadlines were 3 and 14 August 2026 (interviews 6 and 18 Aug 2026). 2027/28 non-EU round expected to open late 2026.,"General-business fallback in the Baltic startup hub; the separate EAMT-EBS Cultural Management MA is the stronger, music-specific route into the same school. MBA tracks may expect management experience that a fresh graduate lacks; the International Management MA (2 yr) has no stated experience bar and is the more accessible option.",https://www.ebs.ee/en/university/masters-studies,No,Bachelor's degree required. Programme durations CONFIRMED: International Management MA 2 yr/120 ECTS; Strategic Management MBA and Digital Product Management MBA 1 or 2 yr (60 or 120 ECTS). MBA work-experience expectation and English-test thresholds NOT stated on this page (Check - may exclude a fresh graduate from MBA tracks).,Private,Estonia,UNVERIFIED,"CONFIRMED on official ebs.ee/en/university/masters-studies: all three programmes taught in English; 'All other international admissions are closed for the 2026/2027 study year'; Estonia/Finland/Latvia deadlines 3 and 14 Aug 2026 with interviews 6 and 18 Aug 2026; durations (Int'l Mgmt MA 120 ECTS/2 yr; the two MBAs 60 or 120 ECTS / 1 or 2 yr). NOT on the page: international tuition figures, scholarships, MBA work-experience requirement, and English-test thresholds - all remain to be confirmed with EBS admissions. Estonian national scholarship applicability to EBS unverified."
M.Sc. Communications and Signal Processing,Technische Universität Ilmenau,Germany,Europe,Acoustics / Audio Eng,None,41,Green,Officially accepts computer/computational science degrees,English,No,Yes,Partial,Date published,Deutschlandstipendium - Check; DAAD Study Scholarships - Check (neither mentioned on program page),UNVERIFIED,"No tuition (Thuringia public university); semester contribution only — exact amount not stated on program page, confirm with admissions","UNVERIFIED (apply via TU Ilmenau's own portal, not uni-assist)","15 May (annual, applicants from outside Europe, winter intake — per program applicants-FAQ; EU applicants 15 Sep). Confirm 15 May 2027 for Sept-2027 start","Not music-specific, but English-taught, tuition-free DSP master in the town of Fraunhofer IDMT (MP3 heritage) - a technical backup route into audio engineering for a software engineer; note the C1 English certificate requirement",https://www.tu-ilmenau.de/en/study/before-the-study/range-of-courses/master/communications-and-signal-processing-msc,No,"Bachelor's (min. 6 semesters/180 ECTS) in electrical engineering, IT, media technology, industrial engineering, mathematics, physics or similar; English certificate at C1 level required (candidate has not yet taken IELTS/TOEFL — C1 is a high bar, roughly IELTS 7.0); program is NC-free; starts 1 October",Public,Germany,None (program); tuition-free,"Official program page confirms: English-taught, 120 ECTS, NC-free, 1 Oct start, degree fields (180 ECTS min). Program application page confirms C1 English certificate required and application via TU Ilmenau portal (not uni-assist). Non-EU deadline 15 May / EU 15 Sep confirmed via program applicants-FAQ (surfaced in search). NOT confirmed on official pages: semester contribution amount, scholarships. 'Similar courses' wording suggests a software-engineering degree may qualify — still confirm with admissions."
M.Sc. Music Acoustics (Erich Thienhaus Institute),Hochschule für Musik Detmold,Germany,Europe,Acoustics / Audio Eng,None,41,Red,Live audition — assumes performance training,English,Yes,Yes,Partial,Confirm 2027 date,DAAD Study Scholarships - Postgraduate Studies in the Field of Music (state music colleges) - Check eligibility; Deutschlandstipendium,DAAD music scheme: EUR 992/month + travel allowance + insurance + study allowance; does NOT cover tuition (per DAAD database - not re-verified this pass),"Check - state music university in NRW, normally no tuition, semester fee only (fee amount not stated on program page); EUR 50 muvac application processing fee confirmed",Feb 15 (recurring annual window for winter intake - confirm 2027 cycle),"PRIOR CYCLE - confirm new date: recurring application window Feb 15 - Mar 15 for winter semester (Oct 1 - Nov 1 for summer, but program starts only in winter)","World-renowned Tonmeister institute; English-taught and DSP-heavy suits CS background, but requires demonstrable instrumental/musical skills at audition",https://www.hfm-detmold.de/en/study/fields-of-study/music-acoustics/,No,"Bachelor's degree or diploma specialising in Sound Transmission or Sound Engineering/'Tonmeister' or comparable relevant subject (Acoustics, Physics, Communication Engineering - CS/software may qualify as comparable, confirm with ETI); English TOEFL iBT 80 or IELTS 6.0; aptitude test: written signal-processing/sound-analysis exam (~30 min), instrumental audition with two compositions from different periods (~10 min, if no prior qualification), music theory/aural training oral (~10 min), colloquium on musical and technical acoustics","Conservatory (state music university, NRW)",Germany,None (program); tuition-free public,"Official HfM Detmold program page confirmed: English-taught, TOEFL 80/IELTS 6.0, Feb 15-Mar 15 winter application window, EUR 50 muvac fee, entry degree fields, full aptitude-test structure (written signal-processing exam, audition, oral, colloquium), international eligibility. NOT confirmed on official page: tuition/semester-fee amount, scholarship details (DAAD stipend figures from prior research, not re-verified). Deadline dates are a recurring annual window - 2027 cycle should be confirmed."
Research in Media Engineering (M.Sc.),Technische Universität Ilmenau (TU Ilmenau),Germany,Europe,Acoustics / Audio Eng,None,41,Green,Officially accepts computer/computational science degrees,English,No,Yes,Partial,Date published,None found on official page (externally fundable via DAAD Study Scholarship),N/A,"No tuition (public, NC-free); semester fee applies - exact amount UNVERIFIED (not on program page)",Check (program page links to separate application-period pages for EU vs non-EU; open date not stated),"Non-EU applicants: 15 May (winter semester) / 15 Nov (summer semester) - confirmed via DAAD International Programmes listing, not restated on the program page itself. Recurring annual deadlines - confirm for the 2027 cycle","STRONG fit: English-completable, tuition-free, NC-free, and a CS/software bachelor directly qualifies - the lowest-barrier German option in this batch for the candidate. Ilmenau is a leading audio/media-tech research hub (Fraunhofer IDMT / MP3 lineage). Research/engineering-oriented rather than production/DJ-focused; audio-DSP skills transfer to music tech.",https://www.tu-ilmenau.de/en/study/before-the-study/range-of-courses/master/research-in-media-engineering-msc,No,"Official page: Bachelor's degree in a similar field (prior draft's specifics - electrical engineering / computer science / computer engineering, min 180 ECTS - are consistent with DAAD listing but the program page itself only says 'similar field'); NC-free admission; 120 ECTS over 4 semesters; starts April 1 or October 1; English proficiency required for the English track (exact test scores not stated on program page).",Public,Germany,None (program); tuition-free public,"Official page confirmed: program exists, M.Sc., 4 semesters/120 ECTS, NC-free, starts April 1/Oct 1, teaching language Deutsch/Englisch, bachelor in similar field required, no portfolio. Confirmed via DAAD International Programmes listing (secondary but authoritative): completable in English; non-EU deadlines 15 May (winter) / 15 Nov (summer). NOT confirmed: semester-fee amount, exact English-test requirements, application-open dates - program page defers to separate application pages."
M.A. Music and Creative Industries,Popakademie Baden-Württemberg (Mannheim),Germany,Europe,Music Business,None,40,Red,Taught in German - at least C1 — you don't have the language,German - at least C1,No,Yes,Verified,Confirm 2027 date,None found (external DAAD/Deutschlandstipendium - Check),Check,"No tuition for domestic students; international (non-EU) and second-degree students pay fees - Baden-Württemberg non-EU fee EUR 1,500/sem expected (exact figure in linked fee PDF - Check) + student services fee",Check (prior cycle closed 15 June),"PRIOR CYCLE - confirm new date (prior cycle: 15 June, entrance interviews 20-24 July 2026; winter intake only)","Germany's state pop-music/music-business school with strong industry network - ideal Track 2 content, but German C1 is required and the candidate's software-engineering bachelor is NOT in the listed admissible subjects; the 6-month industry-experience requirement is a further hurdle. Weak eligibility fit despite great content",https://www.popakademie.de/en/studium/music-and-creative-industries-ma/facts/,No,"Bachelor in Music Business/Popular Music Design (Popakademie), Economics, Cultural Studies, Social Sciences, Music/Musicology, or Media & Communication; PLUS relevant practical experience (vocational training, or internship/volunteer work of at least 6 months); pre-selection on grades/experience/motivation letter, then personal interview (assesses industry knowledge, English skills, motivation, personality); German C1; winter intake only; 20 places; 4 semesters / 120 ECTS",Public,Germany,None found,"Official facts + admission pages fetched 2026-07-12: German C1 confirmed, deadline June 15 (prior cycle) with exams 20-24 July 2026, winter intake, 120 ECTS/4 sem, 20 places, non-EU fee applies (exact amount in PDF not fetched). Important: admissible bachelor subjects list does NOT include engineering/CS - candidate's degree eligibility is doubtful (set tunisianEligible=Y for nationality, but degree-subject match is the real barrier)."
Master in Produzione e Promozione della Musica (1st-level university master),Università di Bologna (Department of the Arts),Italy,Europe,Music Business,None,40,Red,Live audition — assumes performance training,English,No,Check,Verified,Date published,None found,None,"EUR 4,700 total (VERIFIED, 2026/27 call; installments listed as EUR 2,500 at enrolment by 14 Jan 2027 + EUR 2,000 by 30 Apr 2027 - confirm exact split with the call PDF)",Open - 2026/27 call for applications published (VERIFIED),"26 November 2026, 23:59 (VERIFIED - current 2026/27 call; selection 9 Dec 2026 in Bologna; enrolment 18 Dec 2026 - 14 Jan 2027)","Compact, affordable music-industry master (labels, studios, management, music media, internship) at a top public university with a live 26 Nov 2026 deadline; barriers: Italian language, in-person selection in Bologna, and possible degree-class mismatch for a software-engineering bachelor - check eligibility before applying.",https://master.unibo.it/produzione-promozione-musica/it/ammissione,No,"Bachelor's (or master's) degree in specified classes (music, arts, communication, cultural heritage, economics, law, etc.); English B1 minimum; selection by CV/documents scored out of 100, minimum 60 to qualify; 12-20 places; in-person selection in Bologna on 9 Dec 2026",Public,Italy,None found (no scholarships in the 2026/27 admission info; 1st-level masters excluded from most external schemes),"Program and CURRENT 2026/27 cycle CONFIRMED on official unibo.it admission page: deadline 26 Nov 2026, selection 9 Dec 2026, enrolment window, 12-20 places, EUR 4,700 fee (updated from the earlier EUR 4,500 prior-cycle figure; installment amounts as listed summed slightly lower - verify split in the call), English B1 requirement, restricted degree-class list. sourceUrl updated to the admission page. NOT confirmed: whether a foreign software-engineering degree satisfies the degree-class restriction - flagged as Check."
"Mestrado em Ciencias Musicais (specializations: Historical Musicology, Ethnomusicology, Psychology of Music and Human Development - no formal 'popular music studies' branch; popular-music research sits within Ethnomusicology/INET-md)",NOVA FCSH - Universidade Nova de Lisboa,Portugal,Europe,Music Business,None,40,Red,Taught in Portuguese — you don't have the language,Portuguese,No,Yes,Verified,Confirm 2027 date,None found (fee reductions in Despacho 29/2026 apply only to graduates of Portuguese public institutions / NOVA staff),Check,"EUR 6,000 total for the 2-year course for international students (1st yr EUR 3,600 + 2nd yr EUR 2,400) per Despacho 29/2026 for 2026/27; national total EUR 2,400 (1,800 + 600)","Per annual edital (master's phases historically Jan-Jul; PhD extraordinary phase for 2026/27 ran Jun 22-Aug 31, 2026, illustrating the calendar pattern)",PRIOR CYCLE - confirm new date (2027/28 master's edital not yet published),"Confirmed as academic musicology with no production or industry-management training; ethnomusicology/INET-md is the only angle touching popular music; EUR 6,000 intl total with no scholarship - secondary option at best.","https://www.fcsh.unl.pt/en/courses/musicology/ (2026/27 fee dispatch: https://www.fcsh.unl.pt/static/documentos/gestao/academicos/Valores.pdf; note the previously listed edital PDF URL now serves the PhD edital, not the master's)",No,"Licenciado degree, recognized foreign equivalent, or professional CV approved by Scientific Council; 2 years / 120 ECTS (60 taught + 60 dissertation/project/internship); ranked per annual edital criteria (academic record + CV); research via CESEM and INET-md centres",Public,Portugal,None,"Program page confirmed structure, three specializations and entry routes; 2026/27 fees confirmed from official Despacho 29/2026 PDF (intl EUR 3,600 + 2,400; national EUR 1,800 + 600). Correction: original sourceUrl edital PDF now contains the Doutoramento (PhD) 2026/27 edital (intl EUR 12,000 total), not the mestrado - master's application dates must be taken from the mestrado edital when published. 'Popular music studies' is not a named specialization."
Master de Formacion Permanente en Industria Musical y Estudios Sonoros (MiMeS),Universidad Carlos III de Madrid,Spain,Europe,Music Business,None,40,Amber,Tunisian eligibility not confirmed — verify first,English,No,Check,Verified,Date published,None found,None,"EUR 5,900 confirmed (EUR 1,000 reservation counted toward tuition; payable in full or 2 x EUR 2,450 installments due 31 Oct and 15 Mar)",Open (confirmed 'ABIERTO'),Admissions confirmed OPEN for the 2026-27 edition starting 15 Sep 2026 (still-open 2026 intake); no fixed close date published - rolling until seats fill; 2027-28 window not yet posted,"Confirmed bridge of both candidate tracks (industry/business + sound studies) at a reputable public university for a moderate EUR 5,900; evening schedule could pair with gigging; Spanish-taught and zero funding are the drawbacks",https://www.uc3m.es/formacion-permanente/industria-musical-estudios-sonoros,No,"Confirmed: recommended degrees incl. communication, business, sociology, sound engineering, musicology, marketing; documents: application form, CV, motivation letter, TWO recommendation letters, transcript + degree, optional English B1/B2 certificate; curriculum review then personal/video interview; 60 ECTS, Mon-Thu 17:00-20:15, Puerta de Toledo campus Madrid","Public university, titulo propio (formacion permanente)",Spain,None found (confirmed - no scholarship information on program page),"Official UC3M page fetched 2026-07-12: confirms EUR 5,900 tuition and payment plan, open admissions, 15 Sep 2026 start (2026-27 edition), 60 ECTS, Spanish, full document list incl. 2 recommendation letters and interview, no scholarships listed. Sound-engineering degrees explicitly among recommended backgrounds. International/Tunisian specifics not addressed on page - flagged Check."
Master en Industria Musical (IL3),Universitat de Barcelona - IL3 Institute of Lifelong Learning,Spain,Europe,Music Business,None,40,Red,Taught in Spanish — you don't have the language,Spanish,No,Yes,Verified,Date published,"None found (only 10% discounts for professional-association members - ARC, APECAT, ASACC etc. - and alumni; applied before course start)",UNVERIFIED,"EUR 6,020 including UB administrative fees (60 ECTS, confirmed on official page)",Enrollment open now ('Matricula abierta') for Oct 2026 start,"Rolling until course start (Oct 14, 2026 cohort; no fixed deadline published) - confirm 2027 cohort dates later","Industry-connected Barcelona program (city of Sonar/Primavera ecosystem); still-open 2026 intake; Spanish-taught, self-pay",https://www.il3.ub.edu/master-industria-musical,No,"University graduates in arts, humanities, social sciences or law aiming at the music sector (official page wording - engineering not explicitly listed; candidate's software engineering degree: Check with admissions, titulo propio entry is typically flexible) OR professionals with 2+ years music/cultural-sector experience with upper vocational qualification; evening format Mon/Wed/Thu 18:00-21:00; Oct 14, 2026 - Jul 22, 2027",Public (titulo propio via IL3),Spain,None,"Official IL3-UB page confirms: program exists, Spanish (Castellano), EUR 6,020 incl. UB admin fees, 60 ECTS, Mon/Wed/Thu 18:00-21:00 evening format, course dates Oct 14, 2026 - Jul 22, 2027, enrollment open, 10% association/alumni discounts. Correction: official entry profile lists arts/humanities/social-science/law graduates (not engineering as previously stated) or 2+ years sector experience - engineering-degree admissibility should be checked. No deadline published (rolling until start)."
"MA 'Tonrezhisura' (Sound Direction) — sound engineering, mastering, sound design, electronic sound, film/TV sound","New Bulgarian University (NBU), Sofia",Bulgaria,Europe,Sound Design / Production,Check,38,Red,Taught in Bulgarian — you don't have the language,Bulgarian,Check,Check,Partial,Not published,None found,UNVERIFIED,"UNVERIFIED (NBU publishes semester fees at nbu.bg admissions; private-university pricing, historically low by EU standards)",Rolling per semester (Check current calendar),Check — NBU admits each semester (consultation + entrance interview calendar on nbu.bg),"Strongest curriculum match to the candidate's producer/sound-design goals in this Balkan sweep (mastering, e-sound, sound design, DSP, computer sound modelling). Hard barrier is Bulgarian-language instruction; confirm any individual/English arrangements and current fees before pursuing.",https://ecatalog.nbu.bg/default.asp?V_Year=2020&PageShow=programpresent&P_Menu=teachers&Fac_ID=4&M_PHD=0&P_ID=2670&TabIndex=1&l=0,No,"Bachelor's; curriculum CONFIRMED to cover studio sound engineering, audio technologies/studio software, mastering, audio design/synthesis, electronic & live sound, sound for film/TV, computer sound modelling and DSP. Duration and specific prerequisites not shown on the page.",Private,Bulgaria (Sofia),UNVERIFIED,"CONFIRMED on the official NBU e-catalog page: a Tonrezhisura (Sound Direction) master exists, practically oriented, Bulgarian-language, with a curriculum spanning sound engineering, studio software, mastering, audio design/synthesis, film/TV sound, live electronic music, computer sound modelling and DSP; received 'excellent' 6-year accreditation (2014). NOT confirmed on the page: duration, exact entry requirements, admission-interview details, tuition, deadlines, Tunisian eligibility."
Kandidat (MA) line in Audiodesign (within Digital Design),Aarhus University,Denmark,Europe,Sound & Music Tech,Check,38,Red,Tunisian nationals not eligible,Danish,Check,No,Partial,Not published,Check - AU scholarships and grants (masters.au.dk/scholarships-and-grants) - not verified,UNVERIFIED,UNVERIFIED (AU non-EU tuition applies; official page returned 403 to fetch),UNVERIFIED,"UNVERIFIED (AU non-EU deadline typically 15 January - could not confirm, page 403)","Content (audio production + programming for games/interactive media) matches the candidate perfectly, but Danish instruction and entry restricted to two specific Danish bachelor degrees make it effectively non-viable - retained for completeness only.",https://kandidat.au.dk/digitaldesign,No,"Bachelor's in Digital Design (AU) or BSc Digital Design and Interactive Technologies (ITU Copenhagen); motivated application max 1 page/2,400 characters. Line covers sound production, programming and implementation for interactive contexts (games, installations)",Public,Denmark,UNVERIFIED,"Official kandidat.au.dk pages (Danish and English) returned HTTP 403 to WebFetch; firecrawl not used per instructions (weak/low-viability option). Web search of official AU/UddannelsesGuiden sources confirmed: the Audiodesign line exists under the Digital Design kandidat, entry is restricted to AU Digital Design BA or ITU Copenhagen BSc Digital Design and Interactive Technologies, motivated application max 2,400 characters required, and materials are in Danish. Tuition, deadline, scholarships not confirmable. tunisianEligible tightened from 'Check' to 'N in practice'."
"Master 2 Industrie de la musique : production, organisation, communication",Universite Paris 8 Vincennes-Saint-Denis,France,Europe,Music Business,Check,38,Amber,Tunisian eligibility not confirmed — verify first,English,No,Check,Partial,Not published,None found,UNVERIFIED,Public master rates (~EUR 250/yr); non-EU differential exemption at Paris 8 - Check (not stated on page),UNVERIFIED,"UNVERIFIED (not on program page; annual e-candidat/Mon Master campaign, typically spring)","One of very few PUBLIC (near-free) music-industry masters in Europe: production, label work, festivals, distribution; excellent low-cost music-business option for a French-fluent Tunisian candidate",https://www.univ-paris8.fr/-Master-Industrie-de-la-musique-production-organisation-communication-,No,"M1 'Industries culturelles et creatives' (Paris 8) or equivalent; suited to graduates of Arts, Information-communication, Lettres, Sciences sociales licences; strong interest in media/music, humanities grounding, project-management ability; 25 places in M2; selective dossier",Public,France,UNVERIFIED,"Official Paris 8 page confirms program exists, 25 M2 places, entry requirements (M1 ICC or equivalent; arts/communication/social-science backgrounds), in-person French-taught courses, no portfolio. Could NOT confirm 'some courses in English'. Deadlines, tuition and non-EU fee policy not stated on page."
Master 2 Management des Organisations Culturelles (Management & Organisations),Universite Paris Dauphine - PSL,France,Europe,Music Business,Check,38,Amber,No explicit statement on non-music backgrounds — ask admissions,French,No,Yes,Partial,Not published,Check (Fondation Dauphine aid; France Excellence Eiffel via institution for economics/management field),UNVERIFIED,"CORRECTED - Check which fee regime applies: if national diploma, EUR 255/yr (non-EU pay EUR 3,950 unless partial exemption granted on request); if grand-etablissement diploma, income-modulated EUR 258-11,100 with a flat EUR 6,831/yr for non-EU-resident students (2026-27 schedule). The earlier ~EUR 256 figure only holds under the national-diploma regime with exemption","UNVERIFIED (candidature portal opens with the annual campaign, typically early spring)","UNVERIFIED (annual MyCandidature/Mon Master campaign, typically Feb-Apr; 2027-entry dates not yet published)","Top-tier public cultural-management master with potentially very low tuition (but non-EU may face EUR 3,950-6,831 depending on diploma regime - still far below private schools); music/performing-arts management career doors in Paris; needs strong French (candidate is fluent) and a recognized Bac+4",https://dauphine.psl.eu/formations/masters/management-et-organisations/m2-management-des-organisations-culturelles,No,"Bac+4 / 240 ECTS in management, law, economics, humanities or arts (not restated on current page - confirm); 60 ECTS one-year M2, 12-week internship, ~30 places; selective dossier + interview",Public,France,UNVERIFIED,"Program page confirms the M2 exists (2026/27), French-taught, 60 ECTS, 12-week internship, ~30 places, generalist public/private cultural-organization management. Official Dauphine fees page (2026-27) confirms: national diplomas EUR 255 (non-EU EUR 3,950 unless exempted); grand-etablissement diplomas income-modulated EUR 258-11,100 with non-EU-residence flat EUR 6,831 - which regime this M2 falls under could not be confirmed. Entry-requirement details, deadlines and scholarships not shown on fetched pages."
"Master 2 Pro RIM - Realisateur en Informatique Musicale (Master Arts, Creation contemporaine et nouvelles technologies)",Universite Jean Monnet Saint-Etienne,France,Europe,Sound & Music Tech,Check,38,Green,Technical program — an engineering background is the expected profile,French,Yes,Check,Partial,Confirm 2027 date,None found,UNVERIFIED,Public master rates (~EUR 250/yr); non-EU differential fee status at UJM: Check,UNVERIFIED (Mon Master campaign typically opens Feb-Mar; page not updated),"PRIOR CYCLE - confirm new date (official page still shows an old cycle: dossier deadline 31 May, admission interviews early June; current applications run via Mon Master / e-candidat in spring)",The historic French 'computer-music producer' (RIM) degree - trains the people who build electronics/Max-MSP setups for composers and shows; programming background is exactly what they ask for; French-taught suits the candidate,https://musinf.univ-st-etienne.fr/rim.html,No,"M1 in music, digital arts or equivalent, OR demonstrated good level in music/digital artistic practice; scientific culture and experience in computer music and/or programming for digital arts required; VAE possible; max ~20 places; dossier + interview",Public,France,UNVERIFIED,"Official musinf page confirms program exists, French-taught, entry requirements (scientific culture + computer-music/programming experience, M1 or equivalent, VAE), dossier+interview admission with audio-commentary test, ~20 places. However the page's dates are from an old cycle (deadline 31 May, exams 8 June) - current deadline NOT confirmed. Tuition, scholarships and non-EU fee status not stated on page."
"Master Arts mention Musicologie, parcours Creation musicale et sonore",Universite Paris 8 Vincennes-Saint-Denis,France,Europe,Sound & Music Tech,Check,38,Red,Requires a Bachelor of Music — you don't have one,French,Yes,Check,Partial,Not published,None found,UNVERIFIED,Public master rates (~EUR 250/yr); Paris 8 has historically exempted non-EU students from differential fees - Check current policy (not stated on page),UNVERIFIED,"UNVERIFIED (not on program page; Mon Master / Campus France calendars, typically Feb-Apr for September)","Historic electroacoustic/creation department (Paris 8 pioneered computer music teaching); cheap and creation-focused, but formal music/musicology degree prerequisite is a real hurdle for a CS graduate - an equivalence dossier would be needed",https://www.univ-paris8.fr/-Master-Creation-musicale-et-sonore-680-,No,"180-ECTS bachelor in music/musicology (or equivalent foreign degree), anthropology with music prerequisites (ethnomusicology track), or DNSPM with musicology prerequisites; ~30 places per year level; selective",Public,France,UNVERIFIED,"Official Paris 8 page confirms program exists, French-taught, 2-year M1+M2, ~30 places/level, entry requires a music/musicology (or equivalent) bachelor - stricter than a generic arts degree, so flagged as a hurdle for a CS graduate. Deadlines, tuition, non-EU fee policy and exact portfolio pieces not stated on page."
NAIP - European Master of Music: New Audiences and Innovative Practice,Iceland University of the Arts (host option) + Royal Conservatoire The Hague + Prince Claus Conservatoire Groningen,Iceland,Europe,Music Business,Check,38,Red,Live audition — assumes performance training,English,Yes,Check,Partial,Not published,"None found (Erasmus+ funds program development and student mobility/exchange, not full student scholarships)",UNVERIFIED,"UNVERIFIED (set by chosen host institution; students enrol at ONE host which awards the degree - Dutch hosts charge non-EU institutional tuition, Iceland University of the Arts charges tuition; no figures on musicmaster.eu)","Check host institution (lhi.is, koncon.nl, hanze.nl)","Check (per host institution's annual admission round, typically winter-spring for Sept entry)","Entrepreneurship + creative-project leadership for performing musicians - matches DJ/producer career development but demands a strong performance audition; funding weak, so low priority vs funded options",http://www.musicmaster.eu/,Yes,"High-level performance/artistic skills; audition/interview at host institution; curriculum: creative project development in artistic/community/cross-sectoral settings, leadership, collaboration, entrepreneurship",Consortium,Iceland / Netherlands,UNVERIFIED / weak - no student scholarships found,"musicmaster.eu confirms the program, the three degree-awarding hosts (Iceland University of the Arts, Royal Conservatoire The Hague, Prince Claus Conservatoire Groningen), Erasmus+ backing, and enrol-at-one-host structure. Tuition, deadlines, audition specifics, and non-EU eligibility all sit with host institutions and were not retrievable (Iceland Univ of Arts NAIP page returned 404; musicmaster.eu/admission 404). No student scholarship scheme found - consistent with original 'funding weak' assessment."
"Electronic Systems Design, MSc (Acoustics specialization) - NOT OPEN TO NON-EU APPLICANTS",NTNU - Norwegian University of Science and Technology (Trondheim),Norway,Europe,Acoustics / Audio Eng,None,38,Red,Tunisian nationals not eligible,English,No,No,Verified,Date published,None found,None,N/A - programme not open to non-EU/international applicants,N/A for this candidate,N/A for this candidate (Norwegian/Nordic admission round only),"Engineering-heavy acoustics route that would suit the CS/software background, but the programme is closed to non-Nordic applicants - REMOVE from the candidate's shortlist.",https://www.ntnu.edu/studies/mselsys,No,"Completed bachelor's degree in engineering, average grade C or better, min 30 credits in mathematics and statistics; specializations include 'Acoustics for Communication, Environment and Sensing'",Public,Norway,None,"Confirmed on ntnu.edu/studies/mselsys: Acoustics specialization exists ('Acoustics for Communication, Environment and Sensing'), English-taught, engineering bachelor + grade C + 30 math/stats credits. CRITICAL CORRECTION: the official page states the programme is 'only open to Norwegian and Nordic applicants' - the batch's tunisianEligible=Y was WRONG. Cross-checked via search of NTNU pages, same finding. Tuition/deadline fields voided accordingly."
Mestrado em Estudos e Gestao da Cultura (Master in Studies and Management of Culture — incl. cultural management and creative industries domains),Iscte — Instituto Universitário de Lisboa,Portugal,Europe,Music Business,Check,38,Red,Taught in Portuguese — you don't have the language,Portuguese,No,Yes,Partial,Confirm 2027 date,None found on program page — Check Iscte merit scholarships for intl students,UNVERIFIED,"CONFIRMED on official page: international students EUR 3,000 (year 1) + EUR 1,600 (year 2) = EUR 4,600 total; EU: EUR 2,000 + EUR 1,000",UNVERIFIED (not on program page; contact School of Sociology and Public Policies),PRIOR CYCLE - confirm new date,"Solid arts/entertainment-management option in Lisbon for the business track; evening (pós-laboral) schedule leaves days free for producing/DJing and intl tuition is low (EUR 4,600 total); BUT instruction is confirmed Portuguese — a real barrier given his languages are Arabic/French/English.",https://www.iscte-iul.pt/curso/294/mestrado-estudos-gestao-cultura/planoestudos,No,"Bachelor's; 120 ECTS, 2 yrs; 6 mandatory + 4 elective courses plus 48-ECTS thesis/project; pós-laboral (evening) in-person format (CONFIRMED)","Public (university institute, foundation regime)",Portugal,UNVERIFIED,"Official Iscte program page fetched successfully. CONFIRMED: program exists; taught in Portuguese; 2 years / 120 ECTS; pós-laboral evening in-person format; international tuition EUR 3,000 yr1 + EUR 1,600 yr2 (EU EUR 2,000/1,000); curriculum structure. NOT on page: entry requirements detail, application dates, scholarships (page directs to School of Sociology and Public Policies). Deadline remains prior-cycle/unpublished."
